metricType,values,author.id,author.name
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 7, 'percentage': 100.0}]",57208803993,"Stanley, Maurice"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 2, 'percentage': 100.0}]",26024139600,"Gharaei, Saba"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 24, 'percentage': 100.0}]",35515377100,"Parish, Christopher R."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 2, 'percentage': 100.0}]",57193491114,"Huang, Helena H.Y."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 3, 'percentage': 100.0}]",57221310471,"Cohen, Rubijayne"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 3, 'percentage': 100.0}]",57222145242,"Boast, Brigette"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 20.0}, {'collabType': 'No academic-corporate collaboration', 'value': 4, 'percentage': 80.0}]",7102628941,"Horikawa, Keisuke"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 16.666668}, {'collabType': 'No academic-corporate collaboration', 'value': 5, 'percentage': 83.33333}]",9042311600,"Soboleva, Tatiana A."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 7.1428576}, {'collabType': 'No academic-corporate collaboration', 'value': 13, 'percentage': 92.85714}]",7003477284,"Tremethick, David John"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 13, 'percentage': 100.0}]",37015147100,"Carle, Corinne Frances"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 7.692308}, {'collabType': 'No academic-corporate collaboration', 'value': 12, 'percentage': 92.30769}]",6507012293,"Miosge, Lisa A."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 18, 'percentage': 100.0}]",6602802066,"McMorran, Brendan J."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 10, 'percentage': 100.0}]",57211858961,"Rai, Bhim B."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 7, 'percentage': 100.0}]",57021021900,"Hong, Nansook"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 19, 'percentage': 100.0}]",56601665200,"Foote, Simon J."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 19, 'percentage': 100.0}]",8736056000,"Parish, Ian A."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 6, 'percentage': 100.0}]",55874730600,"Zaytseva, Olga A."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 20.0}, {'collabType': 'No academic-corporate collaboration', 'value': 4, 'percentage': 80.0}]",23470895100,"Paz-Filho, Gilberto"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 0, 'percentage': 0.0}]",36455249900,"Wu, Zuopeng"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 4, 'percentage': 100.0}]",55513880800,"Huang, Hongming"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 2, 'percentage': 18.181818}, {'collabType': 'No academic-corporate collaboration', 'value': 9, 'percentage': 81.818184}]",35351327800,"Andrews, Thomas Daniel"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 7, 'percentage': 100.0}]",9238617500,"Quah, Benjamin"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 1, 'percentage': 100.0}]",36659821100,"O'Meara, Connor H."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 5, 'percentage': 100.0}]",55734890300,"Tummala, Padmaja"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 20, 'percentage': 100.0}]",7003741274,"Daria, Vincent Ricardo"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 4, 'percentage': 100.0}]",6506599158,"Delghingaro-Augusto, V."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 3, 'percentage': 30.000002}, {'collabType': 'No academic-corporate collaboration', 'value': 7, 'percentage': 70.0}]",6506236916,"Athanasopoulos, Vicki"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 38, 'percentage': 100.0}]",7003901789,"Maddess, Ted L."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 1, 'percentage': 100.0}]",57659289000,"Meng, Xiangpeng"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 16.666668}, {'collabType': 'No academic-corporate collaboration', 'value': 5, 'percentage': 83.33333}]",55497027100,"González-Figueroa, Paula"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 7, 'percentage': 100.0}]",7003264101,"Simeonovic, Charmaine J."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 8, 'percentage': 100.0}]",31367533500,"Kheradpezhouh, Ehsan"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 5, 'percentage': 13.513513}, {'collabType': 'No academic-corporate collaboration', 'value': 32, 'percentage': 86.48649}]",6602533471,"Vinuesa, Carola G."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 1, 'percentage': 100.0}]",57451937400,"Hao, Yuwei"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 8, 'percentage': 100.0}]",55496892400,"Roco, Jonathan A."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 3, 'percentage': 30.000002}, {'collabType': 'No academic-corporate collaboration', 'value': 7, 'percentage': 70.0}]",6508009461,"Ellyard, Julia I."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 21, 'percentage': 100.0}]",57197798188,"Shishmarev, Dmitry"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 4, 'percentage': 28.57143}, {'collabType': 'No academic-corporate collaboration', 'value': 10, 'percentage': 71.42857}]",7005803471,"Blackburn, Anneke C."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 54, 'percentage': 100.0}]",7005276757,"Nisbet, David Russell"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 15, 'percentage': 100.0}]",36609154000,"Sabeti, Faran"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 21, 'percentage': 100.0}]",6505854090,"Arabzadeh, Ehsan"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 4.5454545}, {'collabType': 'No academic-corporate collaboration', 'value': 21, 'percentage': 95.454544}]",35076381300,"Patel, Hardip R."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 4, 'percentage': 100.0}]",56692353000,"Mohamed, Elmira"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 2, 'percentage': 100.0}]",56410135700,"Lee, Cindy Eunhee"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 9, 'percentage': 100.0}]",57192308788,"Castañares, Michael Lawrence"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 2, 'percentage': 100.0}]",6601990597,"Billups, Brian"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 14.285715}, {'collabType': 'No academic-corporate collaboration', 'value': 6, 'percentage': 85.71429}]",14063470600,"Holgate, Joan Y."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 10, 'percentage': 100.0}]",57189947790,"Wooff, Yvette"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 9, 'percentage': 100.0}]",57205957535,"Bekkers, John M."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 19, 'percentage': 100.0}]",6603109978,"Ranasinghe, Charani"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 2, 'percentage': 100.0}]",57210896436,"Janapala, Yoshika"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 9, 'percentage': 100.0}]",16176492500,"Schumann, Ulrike"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 4, 'percentage': 100.0}]",9133286600,"van Kleef, Joshua P."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 2, 'percentage': 100.0}]",57193535524,"Hulme, Sarah R."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 12.5}, {'collabType': 'No academic-corporate collaboration', 'value': 7, 'percentage': 87.5}]",55203125700,"Papa, Ilenia"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 13, 'percentage': 100.0}]",57605871500,"Wang, Yi"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 4, 'percentage': 100.0}]",57206668645,"Wilson, Alicia S."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 9, 'percentage': 100.0}]",8514433200,"Shirokikh, Nikolay E."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 10.0}, {'collabType': 'No academic-corporate collaboration', 'value': 9, 'percentage': 90.0}]",57202010773,"Cioanca, Adrian V."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 3, 'percentage': 100.0}]",55998953300,"Simon Davis, David Anak"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 5, 'percentage': 100.0}]",55911614600,"Tantirigama, Malinda L.S."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 10, 'percentage': 100.0}]",6602731148,"Arkell, Ruth M."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 7.1428576}, {'collabType': 'No academic-corporate collaboration', 'value': 13, 'percentage': 92.85714}]",57206443863,"Enders, Anselm"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 11.111112}, {'collabType': 'No academic-corporate collaboration', 'value': 8, 'percentage': 88.88889}]",8776629000,"George, Amee J."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 12, 'percentage': 100.0}]",7801660143,"Woodberry, Tonia"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 50.0}, {'collabType': 'No academic-corporate collaboration', 'value': 1, 'percentage': 50.0}]",57205436335,"Reid, Jane E.A."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 16, 'percentage': 100.0}]",57195355018,"Tuipulotu, Daniel Enosi"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 7, 'percentage': 100.0}]",57216275911,"Bonello, Teresa T."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 12, 'percentage': 100.0}]",57189465385,"Hearn, James I."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 2, 'percentage': 100.0}]",16554115600,"Barbosa, Marconi Soares"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 4, 'percentage': 100.0}]",36696850100,"Bhagavathi Perumal, Madhusoothanan"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 9, 'percentage': 100.0}]",55670009900,"Arsov, Todor"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 13, 'percentage': 100.0}]",55629585700,"Chen, Zhian"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 4, 'percentage': 100.0}]",7003510367,"Gallant, Esther M."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 14.285715}, {'collabType': 'No academic-corporate collaboration', 'value': 6, 'percentage': 85.71429}]",26537597100,"Kurscheid, Sebastian"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 3.5714288}, {'collabType': 'No academic-corporate collaboration', 'value': 27, 'percentage': 96.42857}]",57202536558,"Kelly, Hannah Gabrielle"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 12.5}, {'collabType': 'No academic-corporate collaboration', 'value': 7, 'percentage': 87.5}]",56800617600,"Al Abed, Alice Shaam"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 8, 'percentage': 100.0}]",24476546400,"Dehorter, Nathalie"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 5, 'percentage': 50.0}, {'collabType': 'No academic-corporate collaboration', 'value': 5, 'percentage': 50.0}]",57197536277,"Burr, Marian L."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 25, 'percentage': 100.0}]",56377106500,"Montague, Samantha J."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 3.3333335}, {'collabType': 'No academic-corporate collaboration', 'value': 29, 'percentage': 96.666664}]",8744644900,"Natoli, Riccardo Carlo"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 2, 'percentage': 16.666668}, {'collabType': 'No academic-corporate collaboration', 'value': 10, 'percentage': 83.33333}]",23984505600,"Hein, Nadine"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 4.347826}, {'collabType': 'No academic-corporate collaboration', 'value': 22, 'percentage': 95.652176}]",6603402723,"Eyras, Eduardo"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 25, 'percentage': 100.0}]",55574285700,"Horváth, Attila"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 8, 'percentage': 100.0}]",57191613608,"Yunis, Joseph"
